number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_target_update_interval,params_train_freq,state
0,214.8,2025-11-06 12:37:56.693128,2025-11-06 12:39:17.722279,0 days 00:01:21.029151,32,100000,0.39834805024963205,0.9317286566041144,6,9.654751928985204e-05,900,4,COMPLETE
1,9.6,2025-11-06 12:39:17.723368,2025-11-06 12:39:43.293595,0 days 00:00:25.570227,128,100000,0.18764312182815712,0.9803415193456745,2,8.156932628830409e-05,400,6,COMPLETE
2,95.0,2025-11-06 12:39:43.293595,2025-11-06 12:41:31.907918,0 days 00:01:48.614323,32,200000,0.38671928244929,0.9421023699575457,6,0.00020884351696870312,300,3,COMPLETE
3,108.6,2025-11-06 12:41:31.907918,2025-11-06 12:42:13.468058,0 days 00:00:41.560140,128,100000,0.3975058327075285,0.9207445352701776,4,0.000495680584495448,400,6,COMPLETE
4,9.2,2025-11-06 12:42:13.468058,2025-11-06 12:44:01.535859,0 days 00:01:48.067801,64,200000,0.3662304408631418,0.9980923928661084,8,0.00016029130078641413,100,4,COMPLETE
5,470.2,2025-11-06 12:44:01.536861,2025-11-06 12:46:51.565443,0 days 00:02:50.028582,128,100000,0.2869343183228548,0.9368313875205426,3,0.00043424262308051654,800,1,COMPLETE
6,500.0,2025-11-06 12:46:51.565443,2025-11-06 12:51:26.666527,0 days 00:04:35.101084,128,150000,0.12903950819114476,0.9731295101061891,5,0.0003987799940644841,500,1,COMPLETE
7,96.6,2025-11-06 12:51:26.667567,2025-11-06 12:54:59.217977,0 days 00:03:32.550410,64,100000,0.264389006042009,0.9946117879661345,4,8.159759694330146e-05,400,1,COMPLETE
8,198.2,2025-11-06 12:54:59.219031,2025-11-06 12:56:14.297025,0 days 00:01:15.077994,64,100000,0.1662509587037856,0.9981926588234591,8,4.7027616604832035e-05,400,6,COMPLETE
9,9.6,2025-11-06 12:56:14.298071,2025-11-06 12:56:40.171910,0 days 00:00:25.873839,128,150000,0.3382938016430034,0.9833213509021514,2,1.2880137914350779e-05,200,6,COMPLETE
